,year,source_id,experiment_id,tas
110,1906.0,MPI-ESM1-2-LR,historical,286.56513326612856
111,1906.0,MPI-ESM1-2-LR,ssp370,
112,1906.0,CNRM-ESM2-1,historical,286.69531228486557
113,1906.0,CNRM-ESM2-1,ssp370,
114,1906.0,EC-Earth3-Veg,historical,287.03871052805624
115,1906.0,EC-Earth3-Veg,ssp370,
116,1906.0,FGOALS-g3,historical,286.95530629927504
117,1906.0,FGOALS-g3,ssp370,
118,1906.0,UKESM1-0-LL,historical,286.3271681836173
119,1906.0,UKESM1-0-LL,ssp370,
120,1906.0,CanESM5,historical,286.5259832326055
121,1906.0,CanESM5,ssp370,
122,1906.0,ACCESS-CM2,historical,286.90696192655554
123,1906.0,ACCESS-CM2,ssp370,
124,1906.0,EC-Earth3,historical,286.93024403032064
125,1906.0,EC-Earth3,ssp370,
126,1907.0,CESM2,historical,287.1369951574316
127,1907.0,CESM2,ssp370,
128,1907.0,MPI-ESM1-2-LR,historical,286.7119871625703
129,1907.0,MPI-ESM1-2-LR,ssp370,
130,1907.0,CNRM-ESM2-1,historical,286.84948857996545
131,1907.0,CNRM-ESM2-1,ssp370,
132,1907.0,EC-Earth3-Veg,historical,287.0616965675386
133,1907.0,EC-Earth3-Veg,ssp370,
134,1907.0,FGOALS-g3,historical,287.0993805996372
135,1907.0,FGOALS-g3,ssp370,
136,1907.0,UKESM1-0-LL,historical,286.36201452591814
137,1907.0,UKESM1-0-LL,ssp370,
138,1907.0,CanESM5,historical,286.52145848882753
139,1907.0,CanESM5,ssp370,
140,1907.0,ACCESS-CM2,historical,286.87137913395503
141,1907.0,ACCESS-CM2,ssp370,
142,1907.0,EC-Earth3,historical,287.06399206606056
143,1907.0,EC-Earth3,ssp370,
144,1908.0,CESM2,historical,287.2006780696456
145,1908.0,CESM2,ssp370,
146,1908.0,MPI-ESM1-2-LR,historical,286.8163466429557
147,1908.0,MPI-ESM1-2-LR,ssp370,
148,1908.0,CNRM-ESM2-1,historical,286.7586383484136
149,1908.0,CNRM-ESM2-1,ssp370,
150,1908.0,EC-Earth3-Veg,historical,287.0597104806895
151,1908.0,EC-Earth3-Veg,ssp370,
152,1908.0,FGOALS-g3,historical,287.18130495493875
153,1908.0,FGOALS-g3,ssp370,
154,1908.0,UKESM1-0-LL,historical,286.5331693573042
155,1908.0,UKESM1-0-LL,ssp370,
156,1908.0,CanESM5,historical,286.65284175965536
157,1908.0,CanESM5,ssp370,
158,1908.0,ACCESS-CM2,historical,286.9249762470469
159,1908.0,ACCESS-CM2,ssp370,
160,1908.0,EC-Earth3,historical,286.96343462624253
161,1908.0,EC-Earth3,ssp370,
162,1909.0,CESM2,historical,287.3073356812383
163,1909.0,CESM2,ssp370,
164,1909.0,MPI-ESM1-2-LR,historical,286.5734575795115
165,1909.0,MPI-ESM1-2-LR,ssp370,
166,1909.0,CNRM-ESM2-1,historical,286.8201435487619
167,1909.0,CNRM-ESM2-1,ssp370,
168,1909.0,EC-Earth3-Veg,historical,287.01034948710935
169,1909.0,EC-Earth3-Veg,ssp370,
170,1909.0,FGOALS-g3,historical,287.1615841114201
171,1909.0,FGOALS-g3,ssp370,
172,1909.0,UKESM1-0-LL,historical,286.3758069144549
173,1909.0,UKESM1-0-LL,ssp370,
174,1909.0,CanESM5,historical,286.6340951418427
175,1909.0,CanESM5,ssp370,
176,1909.0,ACCESS-CM2,historical,287.01797029038767
177,1909.0,ACCESS-CM2,ssp370,
178,1909.0,EC-Earth3,historical,286.88543151441587
179,1909.0,EC-Earth3,ssp370,
180,1910.0,CESM2,historical,287.11593898049614
181,1910.0,CESM2,ssp370,
182,1910.0,MPI-ESM1-2-LR,historical,286.5968264831712
183,1910.0,MPI-ESM1-2-LR,ssp370,
184,1910.0,CNRM-ESM2-1,historical,286.5929830595687
185,1910.0,CNRM-ESM2-1,ssp370,
186,1910.0,EC-Earth3-Veg,historical,286.8709767866915
187,1910.0,EC-Earth3-Veg,ssp370,
188,1910.0,FGOALS-g3,historical,287.0927688611016
189,1910.0,FGOALS-g3,ssp370,
190,1910.0,UKESM1-0-LL,historical,286.3813757375557
191,1910.0,UKESM1-0-LL,ssp370,
192,1910.0,CanESM5,historical,286.6210811920205
193,1910.0,CanESM5,ssp370,
194,1910.0,ACCESS-CM2,historical,286.9888648847787
195,1910.0,ACCESS-CM2,ssp370,
196,1910.0,EC-Earth3,historical,287.01282975378325
197,1910.0,EC-Earth3,ssp370,
198,1911.0,CESM2,historical,287.1201397854385
199,1911.0,CESM2,ssp370,
200,1911.0,MPI-ESM1-2-LR,historical,286.75003016193074
201,1911.0,MPI-ESM1-2-LR,ssp370,
202,1911.0,CNRM-ESM2-1,historical,286.8149534932174
203,1911.0,CNRM-ESM2-1,ssp370,
204,1911.0,EC-Earth3-Veg,historical,286.8537560070877
205,1911.0,EC-Earth3-Veg,ssp370,
206,1911.0,FGOALS-g3,historical,287.2661308609979
207,1911.0,FGOALS-g3,ssp370,
208,1911.0,UKESM1-0-LL,historical,286.5250361497516
209,1911.0,UKESM1-0-LL,ssp370,
210,1911.0,CanESM5,historical,286.8397657306448
211,1911.0,CanESM5,ssp370,
212,1911.0,ACCESS-CM2,historical,287.03318967585136
213,1911.0,ACCESS-CM2,ssp370,
214,1911.0,EC-Earth3,historical,286.9722182030487
215,1911.0,EC-Earth3,ssp370,
216,1912.0,CESM2,historical,287.1565157069186
217,1912.0,CESM2,ssp370,
218,1912.0,MPI-ESM1-2-LR,historical,286.62998765699575
219,1912.0,MPI-ESM1-2-LR,ssp370,
220,1912.0,CNRM-ESM2-1,historical,286.7485633542825
221,1912.0,CNRM-ESM2-1,ssp370,
222,1912.0,EC-Earth3-Veg,historical,286.9968249643112
223,1912.0,EC-Earth3-Veg,ssp370,
224,1912.0,FGOALS-g3,historical,287.15278352961417
225,1912.0,FGOALS-g3,ssp370,
226,1912.0,UKESM1-0-LL,historical,286.5471762506393
227,1912.0,UKESM1-0-LL,ssp370,
228,1912.0,CanESM5,historical,286.5893706086467
229,1912.0,CanESM5,ssp370,
230,1912.0,ACCESS-CM2,historical,286.93289618742944
231,1912.0,ACCESS-CM2,ssp370,
232,1912.0,EC-Earth3,historical,286.85497917994286
233,1912.0,EC-Earth3,ssp370,
234,1913.0,CESM2,historical,287.1075033435668
235,1913.0,CESM2,ssp370,
236,1913.0,MPI-ESM1-2-LR,historical,286.6150692825549
237,1913.0,MPI-ESM1-2-LR,ssp370,
238,1913.0,CNRM-ESM2-1,historical,286.5835764506669
239,1913.0,CNRM-ESM2-1,ssp370,
240,1913.0,EC-Earth3-Veg,historical,287.0425417121178
241,1913.0,EC-Earth3-Veg,ssp370,
242,1913.0,FGOALS-g3,historical,286.99305731543524
243,1913.0,FGOALS-g3,ssp370,
244,1913.0,UKESM1-0-LL,historical,286.515699139519
245,1913.0,UKESM1-0-LL,ssp370,
246,1913.0,CanESM5,historical,286.4920722195574
247,1913.0,CanESM5,ssp370,
248,1913.0,ACCESS-CM2,historical,286.9932462477623
249,1913.0,ACCESS-CM2,ssp370,
250,1913.0,EC-Earth3,historical,286.9857232397791
251,1913.0,EC-Earth3,ssp370,
252,1914.0,CESM2,historical,287.0680731131099
253,1914.0,CESM2,ssp370,
254,1914.0,MPI-ESM1-2-LR,historical,286.64174372389857
255,1914.0,MPI-ESM1-2-LR,ssp370,
256,1914.0,CNRM-ESM2-1,historical,286.64007226661045
257,1914.0,CNRM-ESM2-1,ssp370,
258,1914.0,EC-Earth3-Veg,historical,286.849917948252
259,1914.0,EC-Earth3-Veg,ssp370,
260,1914.0,FGOALS-g3,historical,287.0317120417363
261,1914.0,FGOALS-g3,ssp370,
262,1914.0,UKESM1-0-LL,historical,286.49792831403755
263,1914.0,UKESM1-0-LL,ssp370,
264,1914.0,CanESM5,historical,286.5938427132631
265,1914.0,CanESM5,ssp370,
266,1914.0,ACCESS-CM2,historical,287.0180130582116
267,1914.0,ACCESS-CM2,ssp370,
268,1914.0,EC-Earth3,historical,287.00317574105355
269,1914.0,EC-Earth3,ssp370,
270,1915.0,CESM2,historical,287.05823372984014
271,1915.0,CESM2,ssp370,
272,1915.0,MPI-ESM1-2-LR,historical,286.812153222719
273,1915.0,MPI-ESM1-2-LR,ssp370,
274,1915.0,CNRM-ESM2-1,historical,286.65656472682787
275,1915.0,CNRM-ESM2-1,ssp370,
276,1915.0,EC-Earth3-Veg,historical,286.778885426963
277,1915.0,EC-Earth3-Veg,ssp370,
278,1915.0,FGOALS-g3,historical,287.3295798411639
279,1915.0,FGOALS-g3,ssp370,
280,1915.0,UKESM1-0-LL,historical,286.3997231624774
281,1915.0,UKESM1-0-LL,ssp370,
282,1915.0,CanESM5,historical,286.78085062686034
283,1915.0,CanESM5,ssp370,
284,1915.0,ACCESS-CM2,historical,287.1279348781904
285,1915.0,ACCESS-CM2,ssp370,
286,1915.0,EC-Earth3,historical,286.94211235444226
287,1915.0,EC-Earth3,ssp370,
288,1916.0,CESM2,historical,287.0339167147046
289,1916.0,CESM2,ssp370,
290,1916.0,MPI-ESM1-2-LR,historical,286.8674765851992
291,1916.0,MPI-ESM1-2-LR,ssp370,
292,1916.0,CNRM-ESM2-1,historical,286.50441563598025
293,1916.0,CNRM-ESM2-1,ssp370,
294,1916.0,EC-Earth3-Veg,historical,286.7005137391511
295,1916.0,EC-Earth3-Veg,ssp370,
296,1916.0,FGOALS-g3,historical,287.2791632759201
297,1916.0,FGOALS-g3,ssp370,
298,1916.0,UKESM1-0-LL,historical,286.5066899826492
299,1916.0,UKESM1-0-LL,ssp370,
300,1916.0,CanESM5,historical,286.6619599216068
301,1916.0,CanESM5,ssp370,
302,1916.0,ACCESS-CM2,historical,287.07413560920804
303,1916.0,ACCESS-CM2,ssp370,
304,1916.0,EC-Earth3,historical,286.9620148332968
305,1916.0,EC-Earth3,ssp370,
306,1917.0,CESM2,historical,287.120282973672
307,1917.0,CESM2,ssp370,
308,1917.0,MPI-ESM1-2-LR,historical,286.6774824137043
309,1917.0,MPI-ESM1-2-LR,ssp370,
310,1917.0,CNRM-ESM2-1,historical,286.5723145066912
311,1917.0,CNRM-ESM2-1,ssp370,
312,1917.0,EC-Earth3-Veg,historical,286.9425245287294
313,1917.0,EC-Earth3-Veg,ssp370,
314,1917.0,FGOALS-g3,historical,287.29812346505696
315,1917.0,FGOALS-g3,ssp370,
316,1917.0,UKESM1-0-LL,historical,286.7294829259615
317,1917.0,UKESM1-0-LL,ssp370,
318,1917.0,CanESM5,historical,286.7525519855828
319,1917.0,CanESM5,ssp370,
320,1917.0,ACCESS-CM2,historical,287.00670989472303
321,1917.0,ACCESS-CM2,ssp370,
322,1917.0,EC-Earth3,historical,287.07126452359
323,1917.0,EC-Earth3,ssp370,
324,1918.0,CESM2,historical,287.16349075394754
325,1918.0,CESM2,ssp370,
326,1918.0,MPI-ESM1-2-LR,historical,286.49761194613126
327,1918.0,MPI-ESM1-2-LR,ssp370,
328,1918.0,CNRM-ESM2-1,historical,286.5506433956302
329,1918.0,CNRM-ESM2-1,ssp370,
330,1918.0,EC-Earth3-Veg,historical,286.97919029026525
331,1918.0,EC-Earth3-Veg,ssp370,
332,1918.0,FGOALS-g3,historical,287.4767857019386
333,1918.0,FGOALS-g3,ssp370,
334,1918.0,UKESM1-0-LL,historical,286.49670368298746
335,1918.0,UKESM1-0-LL,ssp370,
336,1918.0,CanESM5,historical,286.7676758297174
337,1918.0,CanESM5,ssp370,
338,1918.0,ACCESS-CM2,historical,287.1680783617431
339,1918.0,ACCESS-CM2,ssp370,
340,1918.0,EC-Earth3,historical,287.23874822005286
341,1918.0,EC-Earth3,ssp370,
342,1919.0,CESM2,historical,287.24221956941625
343,1919.0,CESM2,ssp370,
344,1919.0,MPI-ESM1-2-LR,historical,286.6462371231195
345,1919.0,MPI-ESM1-2-LR,ssp370,
346,1919.0,CNRM-ESM2-1,historical,286.7883639162533
347,1919.0,CNRM-ESM2-1,ssp370,
348,1919.0,EC-Earth3-Veg,historical,287.1159253146507
349,1919.0,EC-Earth3-Veg,ssp370,
350,1919.0,FGOALS-g3,historical,287.3489395809214
351,1919.0,FGOALS-g3,ssp370,
352,1919.0,UKESM1-0-LL,historical,286.44622621134744
353,1919.0,UKESM1-0-LL,ssp370,
354,1919.0,CanESM5,historical,286.7439790625928
355,1919.0,CanESM5,ssp370,
356,1919.0,ACCESS-CM2,historical,287.1417217285585
357,1919.0,ACCESS-CM2,ssp370,
358,1919.0,EC-Earth3,historical,287.2517551473105
359,1919.0,EC-Earth3,ssp370,
360,1920.0,CESM2,historical,287.3961579549009
361,1920.0,CESM2,ssp370,
362,1920.0,MPI-ESM1-2-LR,historical,286.8094112804832
363,1920.0,MPI-ESM1-2-LR,ssp370,
364,1920.0,CNRM-ESM2-1,historical,286.7143409597131
365,1920.0,CNRM-ESM2-1,ssp370,
366,1920.0,EC-Earth3-Veg,historical,287.1244221555906
367,1920.0,EC-Earth3-Veg,ssp370,
368,1920.0,FGOALS-g3,historical,287.21275461751696
369,1920.0,FGOALS-g3,ssp370,
370,1920.0,UKESM1-0-LL,historical,286.5481585321229
371,1920.0,UKESM1-0-LL,ssp370,
372,1920.0,CanESM5,historical,286.60703326397567
373,1920.0,CanESM5,ssp370,
374,1920.0,ACCESS-CM2,historical,287.1905599778011
375,1920.0,ACCESS-CM2,ssp370,
376,1920.0,EC-Earth3,historical,287.1277959737185
377,1920.0,EC-Earth3,ssp370,
378,1921.0,CESM2,historical,287.1775783956939
379,1921.0,CESM2,ssp370,
380,1921.0,MPI-ESM1-2-LR,historical,286.9733771776652
381,1921.0,MPI-ESM1-2-LR,ssp370,
382,1921.0,CNRM-ESM2-1,historical,286.82256369023577
383,1921.0,CNRM-ESM2-1,ssp370,
384,1921.0,EC-Earth3-Veg,historical,287.1415286475555
385,1921.0,EC-Earth3-Veg,ssp370,
386,1921.0,FGOALS-g3,historical,287.2959364924297
387,1921.0,FGOALS-g3,ssp370,
388,1921.0,UKESM1-0-LL,historical,286.7933871694841
389,1921.0,UKESM1-0-LL,ssp370,
390,1921.0,CanESM5,historical,286.58906543754057
